pressure temperature e- H2 H H+ H- H2- H2+ H3+ He H2O CH4 CO NH3 N2 PH3 H2S TiO VO Fe FeH CrH Na K Rb Cs CO2 HCN C2H2 C2H4 C2H6 SiO MgH OCS Li LiOH LiH LiCl LiF
0.0026312 537.9 6.8077266658172616e-31 0.8362 5.109608120386422e-18 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 0.16242 0.0008190541598834883 0.0004652593700402367 3.2488445612671436e-10 2.2405395047626436e-06 6.737417824889577e-05 1.5576838963316295e-18 2.5424163993277517e-05 4.5000000000000027e-38 4.5000000000000027e-38 1.685897090347871e-30 5.580054962549664e-37 7.536683724952841e-36 9.250256087399627e-16 4.813502642883393e-21 2.6679448892519265e-20 2.5700349173133876e-22 2.2256102347161517e-11 5.4241194506576744e-17 1.0374649527364124e-26 2.2267572572590634e-18 3.08897930557571e-14 5.21692609494963e-38 4.5004999999999666e-38 8.713017105935249e-16 1.421775312908215e-27 3.917786910754151e-20 9.958566325858581e-29 1.266377825782413e-13 1.4181217531316443e-16
0.0030106 543.5 1.592521480644629e-30 0.8362 7.920222766970053e-18 4.5005000735749127e-38 4.5005000735749127e-38 4.5005000735749127e-38 4.5005000735749127e-38 4.5005000735749127e-38 0.16242 0.0008190525334259739 0.00046526000000000043 4.0780541453210385e-10 2.282648489487982e-06 6.741314229273571e-05 2.6545558295065906e-18 2.5425225647693728e-05 4.5000000000000027e-38 4.5000000000000027e-38 3.832078225587337e-30 1.4603797624842812e-36 1.9288117434344108e-35 1.5265774701277463e-15 1.144475573366848e-20 6.337547067104925e-20 4.38027926678823e-22 2.5508042313515044e-11 7.685680312506665e-17 1.9482727787381088e-26 3.1476233704858768e-18 3.6168116426734335e-14 5.029376851989746e-38 4.5005000735749127e-38 1.0732685863571404e-15 3.689384243741935e-27 7.793888629773387e-20 2.6332188329187964e-28 1.7789044465630838e-13 2.33066625370719e-16
0.0034448 549.3 3.7804980846810016e-30 0.8362 1.2365251945856649e-17 4.500500307299933e-38 4.500500307299933e-38 4.500500307299933e-38 4.500500307299933e-38 4.500500307299933e-38 0.16242 0.0008190513851870118 0.0004652599999999995 5.154910786332148e-10 2.3192466602364997e-06 6.730509681972047e-05 4.551774329743656e-18 2.5426232290912722e-05 4.5000000000000027e-38 4.5000000000000027e-38 8.829321065423405e-30 3.879873904221558e-36 5.007410061270648e-35 2.5421292498680874e-15 2.76986758555456e-20 1.5001280007875768e-19 7.549071845150449e-22 2.9402626132069815e-11 1.0952980864895096e-16 3.705584876703012e-26 4.47969976726586e-18 4.244335303991059e-14 5.11605067581771e-38 4.500500307299933e-38 1.3309905709496874e-15 9.731799970729845e-27 1.56869383298682e-19 7.0729658738758305e-28 2.5092087057618134e-13 3.864890292117528e-16
0.0039416 555.4 9.556943500344883e-30 0.8362 1.9602585302902487e-17 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 0.16242 0.000819052267270108 0.000465258270773749 6.624156091682726e-10 2.346476392420175e-06 6.720028359157207e-05 7.890892287725641e-18 2.542686211153497e-05 4.5000000000000027e-38 4.5000000000000027e-38 2.0920380656301658e-29 1.0609073766049152e-35 1.3386049040812926e-34 4.309628788092398e-15 7.041631679200463e-20 3.024676470663224e-19 1.3490750841673498e-21 3.4378433339945526e-11 1.582159975480326e-16 7.255521176975541e-26 6.4758026010205116e-18 5.007708044587356e-14 1.6123041684113713e-37 4.5004999999999666e-38 1.6780018920136474e-15 2.6542081658869434e-26 3.234135361608884e-19 1.9612652115010373e-27 3.52053178918044e-13 6.524569598770311e-16
0.00451 561.8 2.5113634644140802e-29 0.8362 3.150441198806847e-17 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 0.16242 0.0008190533861497319 0.0004652568048978645 8.629527678524725e-10 2.367055003848613e-06 6.714079315236823e-05 1.3835693488318392e-17 2.5427566259465342e-05 4.5000000000000027e-38 4.5000000000000027e-38 5.086132494470265e-29 2.9888260987612653e-35 3.6766379341931185e-34 7.431303490085404e-15 1.8435890016880541e-19 6.478410751532784e-19 2.4521042541275054e-21 4.065400045951471e-11 2.315895680046752e-16 1.456098069763179e-25 9.485697705941874e-18 5.934274317368454e-14 5.76077683814263e-37 4.5004999999999666e-38 2.1437619160365108e-15 7.467280288537326e-26 6.816999134751325e-19 5.6024160498972074e-27 4.998668488740066e-13 1.1202328585977577e-15
0.0051604 568.5 6.808557174687303e-29 0.8362 5.126040981231238e-17 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 0.16242 0.0008190545050850472 0.0004652558872565085 1.137923875609433e-09 2.382008624472815e-06 6.713699266239941e-05 2.4514802477129577e-17 2.5428415519267436e-05 4.5000000000000027e-38 4.5000000000000027e-38 1.265643693480439e-28 8.634209714332866e-35 1.0348950255233371e-33 1.3013713760943995e-14 4.941660336781907e-19 1.516709130502991e-18 4.5115539004230495e-21 4.8555005361364866e-11 3.431352505084368e-16 2.987111111107036e-25 1.4058688947382945e-17 7.059510708994335e-14 1.993477879963037e-36 4.5004999999999666e-38 2.7710075025637124e-15 2.160750837712763e-25 1.4659664258408522e-18 1.6440466808831017e-26 7.197389524794384e-13 1.9531388139543186e-15
0.0059046 575.6 1.924890585475143e-28 0.8362 8.500833228256082e-17 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 0.16242 0.0008190550454152331 0.00046525529557670024 1.5291300666758167e-09 2.387279321408303e-06 6.718603999351592e-05 4.413594912640201e-17 2.542940186022158e-05 4.5000000000000027e-38 4.5000000000000027e-38 3.2643958299462476e-28 2.59257140404984e-34 3.025058545100234e-33 2.3337047524847897e-14 1.3782880912075431e-18 3.818275710725305e-18 8.487972692271397e-21 5.890037600120637e-11 5.178577777079268e-16 6.34055641046597e-25 2.1220003700269825e-17 8.448893804943105e-14 6.862685664588936e-36 4.5004999999999666e-38 3.647810113961623e-15 6.5289953297459e-25 3.2512286529818752e-18 5.028634196403963e-26 1.0550733222889401e-12 3.486621061324485e-15
0.0067562 583.1 5.401726883141737e-28 0.8362 1.4346541042792505e-16 4.50050000000004e-38 4.50050000000004e-38 4.50050000000004e-38 4.50050000000004e-38 4.50050000000004e-38 0.16242000000000004 0.0008190501515599693 0.0004652534854340088 2.093741608517241e-09 2.3803962902402977e-06 6.720243994712112e-05 8.046161793689948e-17 2.543020196512239e-05 4.5000000000000027e-38 4.5000000000000027e-38 8.692655966025163e-28 8.057149516831376e-34 9.143064457333352e-33 4.27107623283978e-14 4.044302360802467e-18 7.163080126908023e-18 1.655557528499497e-20 7.26234922687994e-11 7.934853249605016e-16 1.3912585080814226e-24 3.2606199755458027e-17 1.0174504547236916e-13 2.779185186318484e-35 4.50050000000004e-38 4.89322356305495e-15 2.0494757944351296e-24 7.410687934152481e-18 1.5949513588627883e-25 1.5454331647592932e-12 6.352024510680731e-15
0.0077305 591.0 1.5570045829300774e-27 0.8362 2.4585419133849143e-16 4.50050000000004e-38 4.50050000000004e-38 4.50050000000004e-38 4.50050000000004e-38 4.50050000000004e-38 0.16242000000000004 0.0008190471968652801 0.0004652536942707201 2.9105866649934664e-09 2.3657434592308815e-06 6.725894910316607e-05 1.485906179440049e-16 2.5431101390109024e-05 4.5000000000000027e-38 4.5000000000000027e-38 2.3825119707022788e-27 2.5830933914430346e-33 2.848688372007589e-32 7.967903260743781e-14 1.225189931160735e-17 1.3665855219844576e-17 3.2872144996768994e-20 9.066471803894365e-11 1.2340032313481729e-15 3.1374101431952374e-24 5.08405702992743e-17 1.2311781149607315e-13 1.1710735868566315e-34 4.50050000000004e-38 6.660541344287298e-15 6.661669283458709e-24 1.7316296275257208e-17 5.230503438977578e-25 2.296995018794436e-12 1.1794652178530915e-14
0.0088453 599.4 4.6618298875567685e-27 0.8362 4.3018541723068247e-16 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 0.16242000000000004 0.0008190462240640616 0.00046525599376942903 4.130295222319194e-09 2.340532520334935e-06 6.735897752836388e-05 2.792800607249971e-16 2.5432114063386476e-05 4.5000000000000027e-38 4.5000000000000027e-38 6.791761521024474e-27 8.639665356291733e-33 9.250602187821857e-32 1.5257036650922213e-13 3.87966672230168e-17 2.669863038783219e-17 6.693058253310683e-20 1.151168885993668e-10 1.9580931261414605e-15 7.343502488275578e-24 8.086642586535628e-17 1.499615787917548e-13 5.208752359189664e-34 4.5004999999999666e-38 9.248186103776173e-15 2.2705976668708615e-23 4.185383805779231e-17 1.795074043946636e-24 3.4796236523560464e-12 2.2475494462960023e-14
0.010121 608.2 1.5417584519856062e-26 0.8362 7.617187884727516e-16 4.50050000000004e-38 1.5075639361630647e-37 4.50050000000004e-38 4.50050000000004e-38 4.50050000000004e-38 0.16241999999999995 0.0008190327541664227 0.00046524255373892135 5.943546509502153e-09 2.3050763066918772e-06 6.738144285543944e-05 5.282375807935876e-16 2.5432496780597253e-05 4.499999999999929e-38 4.499999999999929e-38 1.97609206173036e-26 2.954427123349009e-32 3.068874800468231e-31 2.95762409643654e-13 1.2731974261158643e-16 5.355788622909547e-17 1.4003102444652557e-19 1.4806724334323935e-10 3.1343736765443497e-15 1.760671550536898e-23 1.3031523674957712e-16 1.8353244362902882e-13 2.378866884508364e-33 4.50050000000004e-38 1.3030503030829924e-14 7.926502547683236e-23 1.0293658353341342e-16 6.30160931779459e-24 5.243908129454839e-12 4.3360917830821505e-14
